z,delta
12,1
25802,0
110,1
101019,0
51805,0
16361,1
36664,0
111084,0
99785,0
124566,0
27,1
10,1
23855,1
83879,0
91994,0
44579,0
18,1
507,1
10,1
17,1
22,1
10,1
10,1
90,1
11,1
10,1
28,1
15,1
35,1
11,1
45,1
10,1
10,1
142281,0
